City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
161,Bengkulu,100,ID,1610245025,81,-3.8004,102.2655,76.91,2.62
162,Båtsfjord,58,NO,1610245100,92,70.6345,29.7185,12.7,12.24
163,Marsh Harbour,46,BS,1610244866,66,26.5412,-77.0636,64.69,13.76
164,College,75,US,1610245013,79,64.8569,-147.8028,10.4,4.61
165,Scarborough,100,GB,1610244903,89,54.2797,-0.4044,35.01,4.0
166,Salalah,0,OM,1610245062,34,17.0151,54.0924,64.4,6.91
167,Tegul'det,100,RU,1610245101,92,57.3064,88.1667,-0.94,7.58
168,Carnarvon,20,AU,1610244845,51,-24.8667,113.6333,89.6,20.71
169,Byron Bay,11,AU,1610245040,61,-28.65,153.6167,80.01,16.11
170,Asău,75,RO,1610245028,100,46.4333,26.4,28.4,1.39
171,Port Keats,77,AU,1610245101,64,-14.25,129.55,90.52,6.87
172,Faanui,5,PF,1610245020,71,-16.4833,-151.75,81.23,11.1
173,Pisco,0,PE,1610244801,83,-13.7,-76.2167,69.8,11.5
174,São Félix do Xingu,17,BR,1610245042,87,-6.6447,-51.995,74.41,1.9
175,Esperance,90,AU,1610245052,78,-33.8667,121.9,69.8,21.85
176,Port-Gentil,99,GA,1610245040,81,-0.7193,8.7815,80.28,7.27
177,Barrow,90,US,1610245010,78,71.2906,-156.7887,5.0,5.75
178,Kaitangata,76,NZ,1610245043,53,-46.2817,169.8464,66.99,15.01
179,Batagay-Alyta,100,RU,1610245102,83,67.8006,130.4114,-26.54,2.68
180,Isangel,75,VU,1610245021,74,-19.55,169.2667,89.6,5.75
181,St. George's,20,GD,1610245102,83,12.0564,-61.7485,80.6,21.85
182,Sisimiut,100,GL,1610245032,89,66.9395,-53.6735,21.72,8.59
183,Port Hedland,53,AU,1610245022,27,-20.3167,118.5667,102.2,8.05
184,Pontes e Lacerda,29,BR,1610245102,69,-15.2261,-59.3353,78.57,2.35
185,Yumen,44,CN,1610245038,87,40.2833,97.2,11.07,29.28
186,Fairbanks,75,US,1610244918,79,64.8378,-147.7164,10.4,4.61
187,Severo-Yeniseyskiy,100,RU,1610245103,90,60.3725,93.0408,-15.79,2.66
188,Saint George,1,US,1610245006,36,37.1041,-113.5841,46.0,19.57
189,Westport,90,US,1610245103,35,41.1415,-73.3579,35.6,17.27
190,Talnakh,0,RU,1610245026,77,69.4865,88.3972,-23.69,2.57
191,Ranong,20,TH,1610245103,78,9.9658,98.6348,78.8,8.05
192,Russell,90,US,1610244927,70,32.3502,-85.1999,37.4,11.5
193,Takoradze,28,GH,1610245104,89,4.8845,-1.7554,78.39,7.78
194,Warrensburg,90,US,1610245065,80,38.7628,-93.7361,28.4,5.44
195,Vila Franca do Campo,75,PT,1610244974,58,37.7167,-25.4333,53.6,4.61
196,Māngrol,14,IN,1610245104,64,21.1167,70.1167,65.88,12.37
197,Semaria,6,IN,1610245104,80,24.3073,79.9718,64.31,2.71
198,Atbasar,100,KZ,1610245104,95,51.8,68.3333,9.32,12.68
199,St. Pete Beach,75,US,1610245104,76,27.7253,-82.7412,54.0,6.91
